nrCpfCnpj,vlPresta,vlMora,qtPrestacoes,vlMovimento,vlPag,vlTotal,dtPag,dtContrato,dtVctPre
50.192.092/0001-27,3537.94,13.6,8,6301.86,3668.54,3551.54,20240109,20210309,20220730
069.950.102-48,4190.41,206.35,2,6016.8,3078.97,4396.76,20240115,20230814,20231029
275.009.881-50,4474.19,76.67,6,5667.6,3565.14,4550.86,20240105,20230805,20231012
13.916.420/0001-64,2049.24,223.76,2,9886.67,4912.53,2273.0,20240105,20220215,20220626
637.884.555-78,3291.78,459.29,11,1718.79,904.22,3751.07,20240106,20220614,20231014
49.064.666/0001-00,2010.78,202.88,3,4928.31,725.55,2213.66,20240101,20231111,20231115
729.072.787-89,2209.27,89.21,2,4409.42,3207.74,2298.48,20240103,20220401,20231022
74.356.484/0001-42,3492.9,314.86,4,9581.44,2415.68,3807.76,20240104,20231025,20231212
408.943.945-09,4739.11,484.0,1,3835.58,1872.81,5223.11,20240109,20200727,20230119
481.695.217-93,4708.92,453.37,7,7147.87,3807.15,5162.29,20240111,20220220,20220426
78.574.032/0001-98,1302.04,301.76,6,9861.57,644.63,1603.8,20240114,20231109,20231203
712.940.054-48,3127.91,72.64,9,9655.78,2703.92,3200.55,20240103,20220103,20230716
338.396.273-38,1987.24,116.32,9,4777.0,1785.55,2103.56,20240112,20200910,20230914
597.627.855-84,4999.54,496.58,7,9940.76,3081.25,5496.12,20240102,20210103,20220221
79.662.240/0001-01,3438.18,396.05,9,3012.23,3014.39,3834.23,20240101,20220605,20230208
370.914.220-23,3305.59,363.81,9,6711.51,2987.38,3669.4,20240111,20210517,20210824
47.412.823/0001-98,4812.93,321.83,5,1817.21,979.12,5134.76,20240112,20200121,20210727
10.251.176/0001-70,2343.79,448.73,2,2326.98,3403.65,2792.52,20240114,20211029,20230630
69.221.605/0001-09,2766.71,147.12,11,9070.76,939.31,2913.83,20240115,20220910,20240112
67.071.936/0001-84,2059.26,408.57,4,5920.82,3421.74,2467.83,20240109,20210502,20220408
422.923.798-72,1354.16,178.21,4,4044.95,2940.14,1532.37,20240114,20220831,20231122
96.131.492/0001-23,3712.79,54.15,4,3294.46,3865.99,3766.94,20240112,20200424,20201027
74.192.056/0001-21,3083.46,9.14,3,5211.43,746.23,3092.6,20240105,20231129,20240108
144.415.404-42,4809.48,456.35,1,5282.19,4510.86,5265.83,20240112,20210318,20220125
07.529.165/0001-02,1154.2,384.01,12,7954.91,4104.0,1538.21,20240110,20220215,20230214
134.278.437-50,2501.92,409.18,10,4870.65,2940.4,2911.1,20240114,20210926,20220416
58.301.400/0001-17,2470.4,227.64,7,9193.39,871.4,2698.04,20240103,20230120,20230731
66.302.120/0001-51,1464.81,335.22,4,1292.35,3163.26,1800.03,20240115,20201213,20211201
00.186.025/0001-21,4921.64,410.65,4,8965.0,2190.61,5332.29,20240115,20210712,20230301
971.822.079-82,2490.07,404.6,7,5412.56,2538.16,2894.67,20240107,20201002,20210628
76.031.722/0001-75,3903.98,263.63,7,4007.74,3074.53,4167.61,20240104,20200730,20201214
993.449.023-48,1009.91,294.85,2,3786.71,2338.72,1304.76,20240114,20200402,20230107
855.372.663-00,3966.33,218.18,3,4153.6,3895.19,4184.51,20240107,20230417,20230509
66.960.612/0001-34,4058.89,205.45,3,9409.19,4241.67,4264.34,20240103,20201208,20210225
89.861.919/0001-83,1620.66,481.66,2,4072.66,4827.2,2102.32,20240113,20210531,20230724
890.558.028-91,4411.58,157.27,2,9249.65,2915.34,4568.85,20240109,20220605,20221009
814.322.865-79,1546.07,150.6,12,4557.25,2074.19,1696.67,20240111,20220827,20230930
87.664.441/0001-76,3263.49,26.97,2,4738.19,4202.14,3290.46,20240115,20200913,20220410
707.019.714-44,3672.76,61.28,4,5139.85,3570.72,3734.04,20240102,20230912,20231202
439.903.773-37,3179.26,190.32,10,6376.74,4735.94,3369.58,20240108,20201204,20210111
59.488.806/0001-13,2367.6,236.77,12,1040.52,2189.8,2604.37,20240112,20220411,20220823
21.645.101/0001-90,2709.56,304.38,9,1235.22,4025.38,3013.94,20240101,20231107,20240110
43.393.293/0001-27,2154.95,290.67,6,1401.0,1430.04,2445.62,20240103,20200301,20220521
89.325.719/0001-06,3705.07,420.49,2,2861.14,828.34,4125.56,20240102,20230410,20230608
873.358.948-83,4391.12,189.1,4,8020.58,878.43,4580.22,20240105,20200807,20230804
84.213.970/0001-65,3313.9,250.25,3,4202.71,2374.87,3564.15,20240105,20220520,20230328
92.083.360/0001-12,2471.42,473.09,8,2380.56,3130.88,2944.51,20240106,20201109,20211101
41.474.113/0001-06,1269.33,436.1,2,1412.53,2239.01,1705.43,20240103,20200907,20220510
057.593.867-60,2402.87,51.71,10,1742.61,2309.2,2454.58,20240112,20200504,20210206
166.322.516-84,1189.15,58.77,5,9481.86,2113.49,1247.92,20240110,20210808,20220116
763.410.454-09,2604.88,328.82,1,1129.02,2392.97,2933.7,20240112,20220903,20231001
54.518.570/0001-05,2905.98,81.21,9,9603.94,2614.5,2987.19,20240102,20200519,20230220
191.164.838-12,3442.07,126.27,1,5352.58,1762.68,3568.34,20240113,20210316,20210510
70.565.143/0001-26,1039.22,22.51,3,5786.89,4784.17,1061.73,20240108,20230615,20230901
77.905.570/0001-55,1976.62,307.77,7,2773.1,4677.79,2284.39,20240112,20211107,20230820
555.851.080-34,3012.35,103.89,8,8328.41,4031.08,3116.24,20240102,20200302,20230307
048.832.419-04,2085.58,442.26,3,7299.72,3548.52,2527.84,20240109,20220725,20230306
588.447.695-73,3499.39,59.61,6,8394.61,2697.87,3559.0,20240104,20210806,20231229
444.589.075-81,1133.17,12.76,9,1764.11,1845.79,1145.93,20240111,20221118,20230602
590.568.556-89,1636.44,323.78,3,1608.25,535.38,1960.22,20240101,20230114,20230623
934.875.096-87,4920.47,421.88,7,9820.66,4527.34,5342.35,20240105,20231028,20231119
88.183.609/0001-94,1059.6,51.01,4,8247.88,4667.29,1110.61,20240114,20210403,20220506
068.376.111-00,1362.12,294.76,9,4161.2,1027.72,1656.88,20240108,20220930,20240113
45.880.577/0001-73,2850.66,282.58,5,5749.18,783.06,3133.24,20240105,20210501,20211230
15.722.590/0001-33,4096.44,201.63,4,6021.94,2439.31,4298.07,20240105,20220830,20230624
676.131.491-70,1848.85,498.12,1,6184.04,4617.01,2346.97,20240111,20200620,20230909
91.646.036/0001-00,2396.24,256.88,7,2349.17,2807.0,2653.12,20240101,20230817,20231003
634.809.120-10,3694.42,458.11,7,8647.18,4390.87,4152.53,20240106,20230608,20231231
293.928.037-10,1647.61,136.16,8,2247.14,2927.25,1783.77,20240108,20210322,20230602
391.142.560-02,2919.52,33.7,2,6839.49,3431.23,2953.22,20240108,20220925,20231227
874.764.766-38,1263.1,393.25,8,6815.3,1991.18,1656.35,20240115,20231216,20231218
06.121.761/0001-88,4620.2,275.01,10,1716.38,3611.16,4895.21,20240112,20210921,20220415
67.112.745/0001-13,2357.5,2.58,5,7814.99,3863.37,2360.08,20240107,20200209,20220619
101.151.099-51,1092.06,81.58,5,9817.25,4895.65,1173.64,20240101,20210602,20230920
261.628.558-48,3800.64,49.76,7,1620.95,1005.43,3850.4,20240111,20220727,20220731
745.229.884-51,2260.16,446.95,3,1524.66,3067.35,2707.11,20240112,20230308,20230926
97.517.820/0001-97,2562.16,280.76,8,9667.48,623.82,2842.92,20240115,20231115,20240105
96.127.765/0001-66,1876.38,440.77,10,9742.88,2895.87,2317.15,20240110,20211105,20230831
980.621.491-96,4346.77,120.27,6,9979.35,2204.67,4467.04,20240111,20200515,20220725
454.369.761-82,4453.62,203.05,3,8689.39,1178.76,4656.67,20240104,20220222,20220701
559.954.720-54,3437.94,456.96,4,6159.93,1770.3,3894.9,20240111,20200705,20220413
870.045.595-48,4407.87,436.13,4,2723.71,3598.86,4844.0,20240104,20200610,20200721
603.867.195-19,4424.31,251.05,6,2343.56,1292.32,4675.36,20240111,20201029,20240113
08.488.367/0001-08,2381.92,308.96,7,6458.92,2477.57,2690.88,20240109,20220123,20220905
269.651.179-90,1967.49,171.94,3,8150.93,578.96,2139.43,20240103,20240112,20240112
666.692.348-05,3303.21,223.44,9,1996.26,795.94,3526.65,20240102,20230331,20231011
003.006.772-35,3847.29,365.12,5,5715.7,4809.15,4212.41,20240103,20211001,20220620
34.302.500/0001-08,4475.75,96.36,6,1941.45,4963.2,4572.11,20240108,20230131,20231205
87.866.622/0001-85,4632.59,447.77,1,2574.16,2367.07,5080.36,20240105,20231129,20231224
071.772.546-41,3323.63,432.59,11,5469.79,2349.55,3756.22,20240105,20220404,20230227
259.756.668-48,3684.13,283.16,4,4570.03,672.11,3967.29,20240103,20211013,20230512
94.255.403/0001-25,4550.44,238.44,1,2158.59,501.29,4788.88,20240113,20201028,20220512
93.390.252/0001-55,2334.79,177.15,10,3324.12,3880.73,2511.94,20240115,20200309,20200826
46.721.086/0001-42,2213.45,61.01,11,2387.96,4744.13,2274.46,20240114,20200725,20231102
280.415.733-47,1717.21,92.38,1,4770.43,1260.34,1809.59,20240101,20210701,20220520
49.023.345/0001-50,1459.21,14.1,10,2481.74,4191.39,1473.31,20240109,20200401,20210716
792.862.842-25,4098.91,462.84,10,3454.84,3688.17,4561.75,20240106,20230204,20230529
653.811.667-10,3366.23,94.09,11,6344.29,926.75,3460.32,20240104,20230407,20230905
306.230.521-56,4353.59,341.1,12,2503.91,1496.28,4694.69,20240109,20200129,20210203
112.254.387-56,3525.81,54.07,1,4066.83,681.54,3579.88,20240115,20230618,20231227
54.919.343/0001-83,1167.63,19.38,4,3735.58,1502.29,1187.01,20240102,20201125,20210111
49.412.258/0001-94,4389.8,362.33,11,8973.89,3640.77,4752.13,20240105,20220227,20230601
646.511.177-24,3518.34,354.43,1,8064.83,3879.17,3872.77,20240109,20221202,20230130
770.931.586-09,2171.02,231.61,6,6166.49,2016.68,2402.63,20240115,20230930,20240114
851.100.097-67,2593.74,303.06,3,8517.99,4138.3,2896.8,20240106,20210827,20230125
62.612.495/0001-67,3589.49,491.19,4,6445.99,3489.64,4080.68,20240106,20231214,20240106
701.922.232-32,2332.19,43.37,10,2219.31,2394.63,2375.56,20240114,20210506,20210818
59.948.113/0001-66,4071.38,280.45,1,1246.55,3592.87,4351.83,20240112,20210807,20230817
404.595.132-65,2459.29,422.89,11,7446.1,1879.95,2882.18,20240109,20200626,20230606
73.333.481/0001-20,1115.95,479.63,2,1974.69,3000.18,1595.58,20240104,20210914,20221108
34.546.732/0001-01,3910.95,215.6,1,1163.68,1709.37,4126.55,20240101,20220902,20231116
82.616.432/0001-96,4604.2,452.44,9,4740.91,3868.57,5056.64,20240105,20220624,20230607
23.451.489/0001-13,1280.37,174.76,2,7003.79,3531.49,1455.13,20240108,20230414,20230717
13.613.602/0001-66,4392.93,360.16,9,6586.81,1251.73,4753.09,20240103,20210223,20230608
439.352.720-81,4348.38,462.08,1,5688.65,2478.12,4810.46,20240103,20210411,20220221
073.101.427-80,2226.85,465.31,2,2944.92,2122.57,2692.16,20240113,20211019,20231024
60.485.835/0001-00,2145.94,439.68,4,2006.81,3890.17,2585.62,20240110,20220610,20230327
761.714.265-04,4930.62,485.58,3,6149.35,4915.88,5416.2,20240109,20230226,20230423
662.098.334-03,1841.97,282.25,6,6165.93,1735.8,2124.22,20240107,20211002,20220630
22.339.205/0001-39,1781.31,122.88,8,2390.93,1306.72,1904.19,20240113,20210120,20210612
654.789.038-41,1387.92,22.29,11,7576.92,2547.55,1410.21,20240113,20200216,20230507
023.844.237-38,4676.18,361.6,10,7660.84,3355.6,5037.78,20240103,20220926,20230125
18.739.352/0001-29,1497.25,62.93,2,2991.86,3225.25,1560.18,20240106,20230717,20230913
27.141.587/0001-05,1290.34,317.71,6,7119.12,4875.26,1608.05,20240101,20211219,20230926
782.544.899-55,1405.33,237.05,5,6362.14,3977.86,1642.38,20240113,20200608,20201103
81.869.888/0001-03,2373.91,124.61,6,7324.12,4364.73,2498.52,20240105,20210320,20230904
261.686.474-65,2700.56,81.86,6,8276.91,4453.95,2782.42,20240111,20210312,20230909
428.033.204-52,1676.13,325.57,1,9269.61,4854.38,2001.7,20240112,20220531,20230416
04.401.890/0001-02,1800.35,379.8,11,6839.87,1614.32,2180.15,20240110,20221008,20231017
561.446.448-49,1893.09,313.08,1,6069.45,862.7,2206.17,20240107,20230915,20231011
313.776.703-25,2103.48,460.57,11,4728.8,4676.58,2564.05,20240109,20220829,20240114
493.763.343-02,1872.51,452.98,3,9303.72,2195.18,2325.49,20240111,20200609,20220609
744.300.069-38,2990.96,457.45,10,6357.54,3283.0,3448.41,20240115,20231114,20231217
940.858.707-34,2273.95,358.76,3,7329.46,3713.61,2632.71,20240103,20200207,20201103
304.695.271-61,4029.78,15.98,4,9968.2,4607.73,4045.76,20240103,20210802,20220920
19.604.058/0001-72,2004.44,91.73,7,6941.57,691.89,2096.17,20240110,20220112,20220917
19.007.239/0001-11,4582.26,433.83,6,7095.89,1783.72,5016.09,20240111,20230923,20231028
950.778.141-20,3716.45,299.85,8,7384.97,512.21,4016.3,20240110,20210125,20210502
213.907.929-94,4085.02,79.07,8,9754.34,2210.52,4164.09,20240114,20220705,20230121
69.796.708/0001-05,4149.14,457.3,8,5769.94,3752.02,4606.44,20240103,20200707,20201208
760.770.877-42,2849.41,311.42,8,8989.81,1513.85,3160.83,20240104,20230811,20240103
421.791.529-22,3780.1,143.53,4,7849.96,3598.75,3923.63,20240109,20220507,20230221
43.543.368/0001-09,4879.56,453.91,7,9590.22,3102.0,5333.47,20240112,20201013,20231002
15.888.987/0001-08,3327.79,413.61,9,8705.67,4059.4,3741.4,20240110,20200614,20210219
84.489.891/0001-81,3564.04,320.0,2,5496.12,2297.65,3884.04,20240114,20211008,20220830
753.210.279-35,1507.47,304.36,1,6021.18,4433.56,1811.83,20240105,20200107,20221226
17.651.247/0001-70,1997.56,205.85,1,9524.16,2516.46,2203.41,20240112,20230623,20230705
897.469.478-69,4673.83,100.27,2,1980.02,2317.44,4774.1,20240101,20220916,20230602
478.169.281-81,2194.63,481.6,8,8641.37,1309.65,2676.23,20240105,20210422,20211221
249.713.058-23,1968.52,6.88,12,1010.49,4990.21,1975.4,20240104,20200629,20210409
97.958.483/0001-73,2073.45,263.45,5,5493.72,4575.53,2336.9,20240103,20201101,20230406
406.108.282-58,4722.58,154.39,1,9933.46,1810.57,4876.97,20240115,20210421,20211205
54.403.012/0001-96,1948.33,498.7,11,1417.69,3797.93,2447.03,20240103,20200118,20210615
74.144.092/0001-10,3813.32,207.08,2,7565.33,2640.12,4020.4,20240107,20210203,20231220
31.311.863/0001-03,4366.8,66.0,6,1730.61,4233.52,4432.8,20240102,20201017,20220612
438.282.635-77,4345.81,62.01,8,7549.5,947.6,4407.82,20240110,20231003,20231210
765.643.655-35,4317.53,366.25,6,3192.2,802.02,4683.78,20240112,20200717,20230913
20.578.589/0001-17,4400.22,319.96,4,8591.02,3508.09,4720.18,20240106,20210311,20230922
83.620.914/0001-82,2610.68,103.69,12,6783.32,3201.61,2714.37,20240106,20231120,20231216
547.811.692-01,2590.52,444.19,2,8525.93,1443.98,3034.71,20240106,20200205,20221103
502.223.291-06,2105.18,87.74,7,3716.73,643.48,2192.92,20240114,20200117,20230609
661.086.589-24,2654.67,262.57,3,3803.05,1824.31,2917.24,20240110,20200414,20230405
834.422.907-32,1999.48,480.02,5,6081.01,693.54,2479.5,20240108,20231231,20240113
00.357.046/0001-62,4535.65,498.5,10,5232.1,2553.63,5034.15,20240112,20210411,20220618
95.671.007/0001-41,1557.53,238.97,4,9084.18,820.58,1796.5,20240103,20220307,20230311
68.588.489/0001-06,1074.43,170.78,7,7364.12,2378.7,1245.21,20240107,20231122,20231226
69.150.346/0001-72,3803.92,362.7,1,5201.37,3610.7,4166.62,20240111,20210809,20220122
15.412.622/0001-02,4748.42,263.65,11,3049.57,842.31,5012.07,20240113,20221117,20230508
728.321.329-52,4560.52,333.33,6,3793.54,3479.11,4893.85,20240107,20210312,20211013
289.871.646-40,1971.09,184.9,10,5072.02,4876.03,2155.99,20240115,20201023,20201105
121.004.323-89,1346.37,194.23,5,3816.7,3205.48,1540.6,20240115,20200407,20220726
18.322.172/0001-47,2618.77,384.3,5,4787.22,1666.12,3003.07,20240114,20200323,20210922
555.008.378-77,2770.81,13.91,10,9249.82,4913.43,2784.72,20240104,20230108,20230529
340.935.065-90,2373.18,443.16,1,1204.38,3888.97,2816.34,20240110,20201225,20230325
37.655.640/0001-40,4391.67,43.05,11,4877.85,4914.82,4434.72,20240113,20210424,20230331
94.445.874/0001-04,4739.59,177.51,8,5305.83,3874.55,4917.1,20240103,20210125,20220928
94.571.237/0001-76,1101.39,42.49,3,9975.94,4825.89,1143.88,20240101,20220825,20231103
49.107.875/0001-86,4328.17,70.09,6,5049.65,4988.74,4398.26,20240103,20230610,20230919
61.850.010/0001-00,2561.55,152.81,9,1864.23,4810.6,2714.36,20240108,20231201,20240104
29.573.858/0001-27,1047.37,40.91,7,4994.43,2422.61,1088.28,20240110,20200706,20220321
85.477.444/0001-75,1157.96,178.25,7,3584.43,2212.74,1336.21,20240112,20200528,20230513
166.131.516-02,1902.87,357.12,4,9370.89,4123.91,2259.99,20240103,20210713,20211120
795.012.828-30,2632.31,246.95,4,7884.21,3784.41,2879.26,20240101,20230311,20230604
82.500.239/0001-95,2907.49,284.7,5,3577.23,2252.27,3192.19,20240107,20231103,20231209
991.301.850-17,2226.72,24.95,10,8191.8,3045.89,2251.67,20240101,20220715,20230623
89.092.085/0001-99,2394.2,321.46,6,2600.8,2644.62,2715.66,20240103,20201130,20230520
508.006.152-98,3321.57,493.97,12,9485.29,2953.13,3815.54,20240109,20220409,20231029
99.759.853/0001-79,2377.22,211.11,3,3813.94,2233.48,2588.33,20240101,20230104,20230524
287.167.366-72,1072.6,251.63,2,9213.65,1792.08,1324.23,20240103,20200905,20230601
386.793.343-08,4971.86,85.8,2,2828.03,1657.33,5057.66,20240106,20221125,20230901
567.564.787-29,3736.43,187.82,7,5660.0,3591.06,3924.25,20240105,20200317,20210717
758.771.481-25,1371.64,186.12,9,9278.54,1107.56,1557.76,20240108,20220408,20230301
27.998.318/0001-60,4396.63,155.78,11,8320.93,3787.2,4552.41,20240107,20210501,20230527
73.274.977/0001-70,2509.76,449.52,12,3136.25,4129.94,2959.28,20240107,20221002,20230209
307.535.129-63,2430.11,145.31,12,7384.09,1046.74,2575.42,20240104,20200216,20220122
508.634.722-06,3672.36,293.98,5,6311.18,926.97,3966.34,20240111,20201007,20231012
35.399.965/0001-83,3836.35,343.81,1,7099.74,3921.82,4180.16,20240104,20200616,20210618
408.093.119-09,4939.29,48.46,9,3700.96,3119.62,4987.75,20240108,20200825,20230717
270.258.930-80,1304.0,378.48,5,5530.47,2363.16,1682.48,20240105,20220629,20220925
51.923.493/0001-72,3341.8,49.41,10,2107.23,1241.44,3391.21,20240104,20200309,20220715
320.127.079-20,2810.68,461.79,4,2982.15,3735.88,3272.47,20240113,20230105,20231119
896.781.466-65,3136.75,187.13,4,9801.16,4894.57,3323.88,20240111,20220412,20230530
811.719.335-33,3089.43,125.72,8,7672.76,3904.61,3215.15,20240110,20230314,20230430
803.149.381-25,3005.11,382.65,10,5072.42,3971.07,3387.76,20240103,20230912,20231117
80.790.652/0001-06,1480.09,241.98,9,5697.7,2940.19,1722.07,20240112,20220210,20220210
00.513.028/0001-22,4647.82,90.47,3,9783.14,3048.75,4738.29,20240110,20210603,20221127
502.515.642-40,1111.2,212.13,7,7788.39,3874.18,1323.33,20240103,20231028,20240111
59.184.417/0001-02,4443.34,280.39,8,2996.98,2617.84,4723.73,20240108,20230505,20230528
777.220.491-41,1209.17,474.1,11,8655.19,714.0,1683.27,20240101,20200206,20230712
426.089.980-54,4079.73,2.09,6,5256.3,4332.95,4081.82,20240113,20231226,20240114
21.239.950/0001-43,2188.63,10.59,9,5954.44,2290.22,2199.22,20240108,20230702,20230703
101.789.053-64,4526.84,6.21,4,7188.19,2298.76,4533.05,20240105,20230203,20231118
247.513.835-15,2268.9,440.61,6,8249.71,4147.02,2709.51,20240103,20230321,20230913
29.679.520/0001-54,1698.91,220.36,9,9865.18,3454.23,1919.27,20240111,20220127,20230129
24.956.036/0001-01,3366.15,239.08,8,6480.44,2945.82,3605.23,20240101,20220503,20220909
993.227.548-42,2023.19,49.77,2,8519.13,788.35,2072.96,20240112,20220129,20231110
11.234.166/0001-99,4013.16,274.65,1,9354.24,2051.93,4287.81,20240111,20231220,20231227
34.786.692/0001-67,1962.23,253.85,3,9906.45,4900.92,2216.08,20240114,20230415,20231202
784.348.839-10,3870.37,312.59,1,7155.68,2032.54,4182.96,20240106,20230618,20230825
83.088.711/0001-97,3199.31,244.37,12,9618.83,1415.26,3443.68,20240103,20210323,20210512
90.856.947/0001-91,4136.09,307.14,9,8264.94,2219.91,4443.23,20240113,20220530,20230908
96.192.203/0001-04,4058.31,456.08,7,5090.42,772.37,4514.39,20240110,20221009,20230401
12.920.905/0001-69,3494.08,438.31,5,3267.3,591.97,3932.39,20240101,20211125,20220322
60.760.972/0001-06,3931.89,370.92,10,2278.75,823.34,4302.81,20240107,20230919,20231125
74.007.358/0001-82,3499.89,129.35,1,8122.72,2475.33,3629.24,20240106,20221125,20221221
655.943.144-40,2719.96,97.71,10,4083.19,1709.49,2817.67,20240101,20200428,20231121
71.290.862/0001-44,2083.88,240.93,12,8577.98,4694.22,2324.81,20240111,20230524,20230529
820.201.761-06,3521.46,16.91,2,5324.89,3343.55,3538.37,20240111,20200325,20211104
099.535.124-42,4722.29,320.38,2,5322.35,4740.83,5042.67,20240103,20230319,20231105
94.007.021/0001-82,3328.37,338.34,7,6409.62,1989.72,3666.71,20240101,20210720,20220506
910.238.472-80,4482.65,475.35,4,5242.13,2770.18,4958.0,20240105,20200319,20210312
29.963.111/0001-85,1381.08,186.58,6,2808.76,4243.15,1567.66,20240109,20221213,20230721
161.783.776-81,2649.17,357.53,12,6119.86,3363.9,3006.7,20240108,20220208,20220401
57.317.797/0001-72,4239.62,101.12,6,7061.87,2370.0,4340.74,20240105,20210902,20211005
934.043.422-67,1623.77,460.07,1,7761.8,684.06,2083.84,20240109,20221107,20231109
810.644.482-16,2373.44,63.23,6,3449.78,3988.17,2436.67,20240109,20200515,20220120
256.146.953-03,4502.75,392.44,2,2647.3,1783.18,4895.19,20240101,20230508,20230818
976.343.886-10,2502.2,140.79,6,2031.48,3620.67,2642.99,20240114,20200425,20220725
00.420.958/0001-31,2532.52,69.05,2,4116.28,2537.29,2601.57,20240111,20230818,20230918
997.933.207-70,4473.43,458.72,6,4444.25,2775.09,4932.15,20240108,20210829,20220501
492.339.891-43,3849.0,30.91,10,7042.57,1286.65,3879.91,20240109,20220516,20230409
62.941.881/0001-00,3038.34,225.58,5,3179.0,1844.88,3263.92,20240101,20220111,20220323
598.850.458-21,3081.52,465.69,7,2607.94,3714.06,3547.21,20240104,20230704,20230821
006.744.621-30,4352.97,250.8,5,5975.37,3824.51,4603.77,20240110,20200302,20210715
267.524.291-89,2179.34,433.7,8,4618.09,2524.22,2613.04,20240108,20200508,20210531
51.005.488/0001-80,3997.71,314.49,11,9839.52,2266.91,4312.2,20240108,20210125,20220119
928.963.738-29,4585.19,187.91,10,6065.53,2394.31,4773.1,20240113,20220111,20220725
47.588.104/0001-22,4498.87,95.38,10,1861.3,4986.62,4594.25,20240101,20201115,20230203
48.841.613/0001-88,3022.93,456.87,8,8631.28,4204.39,3479.8,20240112,20231227,20240115
174.366.364-13,4772.56,55.17,4,2918.55,2792.49,4827.73,20240115,20200106,20200720
391.039.474-40,1943.23,481.35,5,8002.46,4325.99,2424.58,20240108,20200725,20211223
20.260.914/0001-07,4263.26,130.52,3,2342.09,2378.14,4393.78,20240115,20210312,20220707
127.434.892-78,4920.57,216.0,2,7087.0,3316.62,5136.57,20240106,20211025,20230218
375.517.865-62,3326.28,165.67,7,2538.25,1273.06,3491.95,20240101,20200124,20200804
701.689.428-28,2717.1,1.0,12,3025.67,1919.25,2718.1,20240108,20211031,20230411
675.070.996-60,1178.38,81.49,3,9360.61,3292.17,1259.87,20240103,20231008,20231214
12.454.305/0001-52,1627.51,290.47,10,1586.78,2213.8,1917.98,20240113,20200306,20210516
76.669.886/0001-22,3777.11,187.47,10,7912.46,4940.76,3964.58,20240106,20220913,20221214
26.873.297/0001-93,2089.15,404.55,8,2678.39,1854.79,2493.7,20240110,20210723,20230820
300.221.373-00,1394.79,317.05,9,3628.57,2054.99,1711.84,20240109,20230504,20240108
307.891.366-00,4627.93,177.98,10,2167.01,2566.07,4805.91,20240108,20220109,20230507
267.940.788-13,3472.52,139.03,10,3199.3,3533.98,3611.55,20240104,20231230,20231231
578.814.578-30,4341.08,321.34,10,2531.97,2113.83,4662.42,20240113,20221004,20230126
00.803.160/0001-79,4517.97,33.58,10,7341.83,1832.79,4551.55,20240112,20211211,20230312
13.468.995/0001-61,1899.6,77.63,1,4089.64,742.64,1977.23,20240103,20201129,20230112
586.012.238-18,4415.04,319.8,12,5251.83,3495.81,4734.84,20240108,20210902,20230621
100.754.341-80,3150.8,239.73,8,8761.8,3074.82,3390.53,20240112,20220314,20220413
02.188.811/0001-93,4767.4,266.51,10,4882.3,3230.25,5033.91,20240112,20210822,20210925
223.226.436-02,2624.05,178.17,1,8937.26,919.63,2802.22,20240102,20230826,20231214
053.101.467-33,4278.22,403.96,2,2535.36,2379.53,4682.18,20240102,20210209,20221111
84.014.740/0001-77,4230.33,369.22,10,5021.17,2782.79,4599.55,20240102,20240112,20240114
58.522.233/0001-34,3564.76,386.45,5,8369.03,4546.75,3951.21,20240103,20221207,20230520
348.498.274-89,2992.06,16.87,11,4316.71,3634.87,3008.93,20240101,20210225,20220402
53.207.098/0001-19,3554.95,429.45,6,8867.69,1905.9,3984.4,20240111,20210905,20221021
593.166.378-99,2734.48,108.78,1,2991.48,4093.64,2843.26,20240103,20230917,20231019
96.268.043/0001-21,4451.67,107.05,12,3572.11,4209.11,4558.72,20240114,20220813,20231230
798.781.739-25,3075.3,90.73,8,1776.35,4884.5,3166.03,20240104,20210712,20230302
09.900.723/0001-11,4305.5,89.44,2,7561.94,4326.07,4394.94,20240102,20230601,20230616
40.726.306/0001-44,2953.74,289.36,3,4491.7,4491.77,3243.1,20240102,20230814,20230914
90.060.818/0001-92,4549.9,176.94,6,7957.16,4978.63,4726.84,20240108,20200724,20220123
802.040.680-88,1906.03,190.23,9,4241.22,1867.61,2096.26,20240101,20220728,20230926
780.250.822-37,4194.38,100.28,1,7251.78,2616.82,4294.66,20240107,20221004,20231119
89.610.843/0001-13,2551.51,23.45,12,7575.39,1672.51,2574.96,20240109,20200108,20231022
048.928.528-72,3040.19,94.62,7,5969.83,3643.51,3134.81,20240110,20230309,20231022
27.285.932/0001-84,3982.07,63.16,12,1446.57,3536.52,4045.23,20240111,20220630,20230217
482.067.466-84,3578.87,65.06,4,7431.37,1992.93,3643.93,20240109,20200322,20211021
256.088.832-76,3064.44,21.56,8,4710.86,3580.2,3086.0,20240101,20230617,20231222
09.104.457/0001-10,1303.81,280.28,6,4848.71,1976.88,1584.09,20240109,20231007,20231130
63.963.613/0001-44,1851.07,219.76,8,4378.86,3547.76,2070.83,20240108,20201223,20210708
40.206.013/0001-36,4704.48,239.42,2,4395.16,3697.86,4943.9,20240111,20220706,20231210
847.630.462-50,1541.55,77.73,2,5924.84,4715.18,1619.28,20240106,20230126,20230617
88.376.883/0001-80,3209.46,433.75,6,8693.24,1430.09,3643.21,20240104,20220617,20230411
130.963.114-04,4332.33,309.95,8,9522.37,1504.4,4642.28,20240113,20210418,20220102
600.254.192-69,2235.77,302.87,11,8280.29,4631.4,2538.64,20240102,20230518,20230526
